Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.29578947368421055,0.8768421052631579,0.3178947368421053,0.7652631578947369
ORG,227,0.20704845814977973,0.8722466960352423,0.2422907488986784,0.8502202643171806
unknown,620,0.2838709677419355,0.6903225806451613,0.31129032258064515,0.7612903225806451
"['PERSON', 'GPE', 'PERSON']",2,0.0,1.0,0.0,1.0
QUANTITY,14,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.8571428571428571
LOC,38,0.18421052631578946,0.7105263157894737,0.2631578947368421,0.9210526315789473
GPE,238,0.226890756302521,0.8781512605042017,0.24789915966386555,0.8361344537815126
"['GPE', 'GPE', 'GPE', 'ORG']",1,0.0,1.0,0.0,1.0
"['GPE', 'DATE']",1,0.0,0.0,0.0,1.0
DATE,437,0.32723112128146453,0.7963386727688787,0.35926773455377575,0.7757437070938215
"['NORP', 'ORG']",6,0.3333333333333333,1.0,0.5,0.6666666666666666
NORP,49,0.22448979591836735,0.5714285714285714,0.22448979591836735,0.7142857142857143
ORDINAL,11,0.2727272727272727,0.9090909090909091,0.36363636363636365,0.8181818181818182
"['PERSON', 'NORP', 'PERSON']",7,0.0,1.0,0.0,1.0
"['DATE', 'ORDINAL', 'WORK_OF_ART']",1,0.0,0.0,0.0,1.0
"['PERSON', 'ORG']",5,0.2,0.8,0.2,1.0
"['ORG', 'PERSON']",8,0.25,0.625,0.25,0.75
CARDINAL,144,0.3333333333333333,0.8125,0.3611111111111111,0.75
"['LOC', 'NORP', 'LOC']",1,0.0,1.0,0.0,1.0
MONEY,10,0.2,0.8,0.2,0.7
"['PERSON', 'ORG', 'PERSON', 'PERSON']",2,0.0,1.0,0.0,1.0
"['DATE', 'EVENT']",2,0.5,1.0,0.5,0.5
"['DATE', 'ORG']",4,1.0,0.75,1.0,0.5
FAC,12,0.4166666666666667,0.9166666666666666,0.4166666666666667,0.6666666666666666
"['GPE', 'GPE', 'DATE']",1,0.0,0.0,0.0,1.0
"['CARDINAL', 'LOC']",1,1.0,1.0,1.0,0.0
"['NORP', 'ORG', 'NORP']",1,0.0,1.0,1.0,1.0
"['ORG', 'DATE']",2,0.5,1.0,0.5,0.5
"['QUANTITY', 'FAC']",1,0.0,1.0,0.0,1.0
"['NORP', 'GPE']",6,0.6666666666666666,0.6666666666666666,0.5,0.5
"['DATE', 'CARDINAL']",6,0.3333333333333333,1.0,0.6666666666666666,0.8333333333333334
"['PERSON', 'GPE']",9,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.6666666666666666
"['PERSON', 'PERSON', 'GPE']",1,1.0,1.0,1.0,0.0
"['ORG', 'PERSON', 'NORP', 'PERSON']",1,0.0,1.0,0.0,1.0
"['PERSON', 'WORK_OF_ART']",2,0.0,1.0,0.0,1.0
"['PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON']",1,1.0,1.0,1.0,1.0
WORK_OF_ART,13,0.46153846153846156,0.8461538461538461,0.46153846153846156,0.6923076923076923
"['DATE', 'PERSON']",4,0.25,1.0,0.25,0.75
"['ORG', 'LOC']",2,0.0,0.5,0.0,1.0
"['CARDINAL', 'ORG']",2,0.5,0.5,0.5,1.0
"['PERSON', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.0,1.0
"['PERSON', 'PERSON', 'ORG']",5,0.0,0.8,0.2,1.0
"['NORP', 'PERSON']",6,0.3333333333333333,1.0,0.5,0.6666666666666666
TIME,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.7142857142857143
"['ORG', 'GPE']",12,0.3333333333333333,0.8333333333333334,0.4166666666666667,0.9166666666666666
"['PERSON', 'GPE', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'GPE', 'GPE', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE']",1,1.0,0.0,1.0,0.0
"['PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,0.0,1.0,0.0,1.0
