Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.4473684210526316,0.9336842105263158,0.47368421052631576,0.7136842105263158
ORG,227,0.29955947136563876,0.8898678414096917,0.3303964757709251,0.8193832599118943
unknown,620,0.31129032258064515,0.7225806451612903,0.3370967741935484,0.7548387096774194
"['PERSON', 'GPE', 'PERSON']",2,0.0,1.0,0.0,1.0
QUANTITY,14,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.7142857142857143
LOC,38,0.34210526315789475,0.7631578947368421,0.39473684210526316,0.7894736842105263
GPE,238,0.29411764705882354,0.8739495798319328,0.3319327731092437,0.8109243697478992
"['GPE', 'GPE', 'GPE', 'ORG']",1,0.0,1.0,0.0,1.0
"['GPE', 'DATE']",1,0.0,0.0,0.0,1.0
DATE,437,0.3890160183066362,0.8489702517162472,0.41647597254004576,0.7116704805491991
"['NORP', 'ORG']",6,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334
NORP,49,0.30612244897959184,0.6938775510204082,0.3673469387755102,0.7346938775510204
ORDINAL,11,0.5454545454545454,0.8181818181818182,0.6363636363636364,0.5454545454545454
"['PERSON', 'NORP', 'PERSON']",7,0.14285714285714285,1.0,0.14285714285714285,1.0
"['DATE', 'ORDINAL', 'WORK_OF_ART']",1,0.0,1.0,0.0,1.0
"['PERSON', 'ORG']",5,0.4,0.8,0.4,0.6
"['ORG', 'PERSON']",8,0.25,0.875,0.25,1.0
CARDINAL,144,0.3819444444444444,0.8125,0.3958333333333333,0.6388888888888888
"['LOC', 'NORP', 'LOC']",1,0.0,1.0,0.0,1.0
MONEY,10,0.5,0.9,0.5,0.5
"['PERSON', 'ORG', 'PERSON', 'PERSON']",2,0.5,1.0,0.5,0.5
"['DATE', 'EVENT']",2,0.5,1.0,0.5,0.5
"['DATE', 'ORG']",4,0.5,1.0,0.5,0.75
FAC,12,0.3333333333333333,0.75,0.4166666666666667,0.6666666666666666
"['GPE', 'GPE', 'DATE']",1,0.0,0.0,0.0,1.0
"['CARDINAL', 'LOC']",1,1.0,1.0,1.0,0.0
"['NORP', 'ORG', 'NORP']",1,0.0,1.0,0.0,1.0
"['ORG', 'DATE']",2,0.0,1.0,0.0,1.0
"['QUANTITY', 'FAC']",1,0.0,1.0,0.0,1.0
"['NORP', 'GPE']",6,0.5,1.0,0.6666666666666666,0.6666666666666666
"['DATE', 'CARDINAL']",6,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334
"['PERSON', 'GPE']",9,0.7777777777777778,1.0,0.7777777777777778,0.5555555555555556
"['PERSON', 'PERSON', 'GPE']",1,1.0,1.0,1.0,0.0
"['ORG', 'PERSON', 'NORP', 'PERSON']",1,0.0,1.0,0.0,1.0
"['PERSON', 'WORK_OF_ART']",2,1.0,1.0,1.0,0.5
"['PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON']",1,1.0,1.0,1.0,0.0
WORK_OF_ART,13,0.5384615384615384,0.9230769230769231,0.5384615384615384,0.6923076923076923
"['DATE', 'PERSON']",4,0.25,1.0,0.5,0.75
"['ORG', 'LOC']",2,0.5,1.0,0.5,0.5
"['CARDINAL', 'ORG']",2,0.5,0.5,0.5,0.5
"['PERSON', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.0,1.0
"['PERSON', 'PERSON', 'ORG']",5,0.2,1.0,0.2,0.8
"['NORP', 'PERSON']",6,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334
