Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.9168421052631579,0.9252631578947368,0.9768421052631578,0.9757894736842105
ORG,227,0.8898678414096917,0.9427312775330396,0.9691629955947136,0.9559471365638766
unknown,620,0.8129032258064516,0.8516129032258064,0.896774193548387,0.885483870967742
"['PERSON', 'GPE', 'PERSON']",2,1.0,1.0,1.0,1.0
QUANTITY,14,0.9285714285714286,1.0,0.9285714285714286,0.9285714285714286
LOC,38,0.7894736842105263,0.7894736842105263,0.8947368421052632,0.868421052631579
GPE,238,0.8781512605042017,0.8991596638655462,0.9537815126050421,0.9621848739495799
"['GPE', 'GPE', 'GPE', 'ORG']",1,0.0,1.0,1.0,1.0
"['GPE', 'DATE']",1,0.0,0.0,1.0,1.0
DATE,437,0.8718535469107551,0.9130434782608695,0.9359267734553776,0.9130434782608695
"['NORP', 'ORG']",6,0.8333333333333334,0.8333333333333334,1.0,1.0
NORP,49,0.7346938775510204,0.7959183673469388,0.8571428571428571,0.9183673469387755
ORDINAL,11,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091
"['PERSON', 'NORP', 'PERSON']",7,1.0,1.0,1.0,1.0
"['DATE', 'ORDINAL', 'WORK_OF_ART']",1,1.0,1.0,1.0,1.0
"['PERSON', 'ORG']",5,1.0,1.0,1.0,1.0
"['ORG', 'PERSON']",8,0.75,0.75,1.0,1.0
CARDINAL,144,0.9097222222222222,0.9375,0.9722222222222222,0.9166666666666666
"['LOC', 'NORP', 'LOC']",1,1.0,1.0,1.0,1.0
MONEY,10,0.6,0.6,0.8,0.9
"['PERSON', 'ORG', 'PERSON', 'PERSON']",2,1.0,1.0,1.0,1.0
"['DATE', 'EVENT']",2,1.0,1.0,1.0,1.0
"['DATE', 'ORG']",4,1.0,1.0,1.0,0.75
FAC,12,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666
"['GPE', 'GPE', 'DATE']",1,1.0,1.0,1.0,1.0
"['CARDINAL', 'LOC']",1,1.0,1.0,1.0,1.0
"['NORP', 'ORG', 'NORP']",1,0.0,0.0,1.0,1.0
"['ORG', 'DATE']",2,1.0,1.0,1.0,1.0
"['QUANTITY', 'FAC']",1,1.0,1.0,1.0,1.0
"['NORP', 'GPE']",6,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334
"['DATE', 'CARDINAL']",6,1.0,1.0,1.0,1.0
"['PERSON', 'GPE']",9,0.7777777777777778,0.7777777777777778,1.0,1.0
"['PERSON', 'PERSON', 'GPE']",1,1.0,1.0,1.0,1.0
"['ORG', 'PERSON', 'NORP', 'PERSON']",1,1.0,1.0,1.0,1.0
"['PERSON', 'WORK_OF_ART']",2,0.5,0.5,0.5,1.0
"['PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON']",1,1.0,1.0,1.0,1.0
WORK_OF_ART,13,0.9230769230769231,0.9230769230769231,1.0,1.0
"['DATE', 'PERSON']",4,1.0,1.0,1.0,1.0
"['ORG', 'LOC']",2,1.0,1.0,1.0,1.0
"['CARDINAL', 'ORG']",2,1.0,1.0,1.0,0.5
"['PERSON', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE']",1,1.0,1.0,1.0,1.0
"['PERSON', 'PERSON', 'ORG']",5,1.0,1.0,1.0,1.0
"['NORP', 'PERSON']",6,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666
TIME,7,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571
"['ORG', 'GPE']",12,0.5833333333333334,0.5833333333333334,1.0,1.0
"['PERSON', 'GPE', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'GPE', 'GPE', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE']",1,1.0,1.0,1.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,1.0,1.0,1.0,1.0
"['PERSON', 'PERSON', 'CARDINAL']",1,0.0,1.0,1.0,1.0
"['GPE', 'GPE', 'DATE', 'GPE', 'GPE', 'DATE']",1,1.0,1.0,1.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'ORG']",2,0.5,0.5,1.0,1.0
PERCENT,9,0.7777777777777778,1.0,0.8888888888888888,0.7777777777777778
"['NORP', 'PERSON', 'PERSON']",5,1.0,1.0,1.0,1.0
"['GPE', 'GPE', 'LOC', 'GPE', 'GPE']",1,1.0,1.0,1.0,1.0
"['DATE', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,1.0,1.0,1.0,1.0
"['GPE', 'EVENT']",1,1.0,1.0,1.0,1.0
EVENT,7,0.8571428571428571,0.8571428571428571,1.0,1.0
"['PERSON', 'LOC', 'PERSON', 'LOC']",1,0.0,0.0,1.0,1.0
"['LAW', 'DATE']",2,0.5,0.5,1.0,1.0
"['FAC', 'GPE']",1,0.0,0.0,1.0,1.0
"['GPE', 'GPE', 'GPE', 'GPE', 'LOC']",1,1.0,1.0,1.0,1.0
"['LOC', 'GPE']",3,0.6666666666666666,1.0,1.0,1.0
"['DATE', 'DATE', 'GPE', 'DATE']",1,1.0,1.0,1.0,1.0
"['NORP', 'DATE', 'NORP']",1,1.0,1.0,1.0,1.0
"['GPE', 'GPE', 'FAC', 'GPE']",1,1.0,1.0,1.0,1.0
"['ORG', 'ORDINAL']",1,1.0,1.0,1.0,1.0
"['DATE', 'NORP']",1,1.0,1.0,1.0,1.0
"['NORP', 'GPE', 'NORP']",1,0.0,0.0,1.0,1.0
"['ORG', 'PERSON', 'PERSON', 'PERSON']",2,1.0,1.0,1.0,1.0
"['ORG', 'GPE', 'GPE']",2,0.0,0.5,1.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'PERSON', 'WORK_OF_ART', 'PERSON']",1,1.0,1.0,1.0,1.0
"['PERSON', 'GPE', 'GPE']",1,1.0,1.0,1.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON']",1,1.0,1.0,1.0,1.0
"['LOC', 'DATE']",1,1.0,1.0,1.0,1.0
"['CARDINAL', 'EVENT']",1,1.0,1.0,1.0,1.0
"['CARDINAL', 'CARDINAL', 'PERSON', 'PERSON']",1,1.0,1.0,1.0,1.0
"['MONEY', 'DATE']",2,1.0,1.0,0.5,0.5
"['ORG', 'LANGUAGE']",1,1.0,1.0,1.0,1.0
"['CARDINAL', 'ORG', 'GPE', 'ORG']",1,1.0,1.0,1.0,1.0
"['GPE', 'LOC']",1,1.0,1.0,1.0,1.0
"['GPE', 'LOC', 'GPE', 'GPE']",1,1.0,1.0,1.0,1.0
LANGUAGE,2,0.5,0.5,0.5,0.5
"['QUANTITY', 'CARDINAL', 'QUANTITY']",1,1.0,1.0,1.0,1.0
"['PERSON', 'PERSON', 'ORG', 'PERSON', 'WORK_OF_ART', 'PERSON', 'PERSON']",1,1.0,1.0,1.0,0.0
"['GPE', 'GPE', 'ORG']",1,1.0,1.0,1.0,1.0
"['CARDINAL', 'QUANTITY']",3,1.0,1.0,1.0,0.3333333333333333
"['CARDINAL', 'CARDINAL', 'DATE', 'CARDINAL', 'CARDINAL']",1,1.0,1.0,0.0,0.0
"['PERSON', 'ORG', 'GPE']",1,1.0,1.0,0.0,0.0
"['LOC', 'NORP', 'GPE']",1,1.0,1.0,1.0,1.0
